,name,rating,address,phone
84,PRAGATHI DRIVING SCHOOL,4.7,"152 4th cross JHBCS layout Behind Eidgah ground Bendre nagar, Kumaraswamy Layout, Bengaluru, Karnataka 560078",095917 10483
85,Sri Sumukha Driving School,4.2,"150/2 24th main7th Cross near thirumala theatre, HSR Layout,Sector 1, Agara, Bengaluru, Karnataka 560102",098456 67779
86,"Maruti Driving School (Maruti suzuki driving school Mandovi Motors, Chamrajapet)",4.9,"Mandovi Motors 133, Bull Temple Road Kempegowda Nagar, Chamarajpet, Basavanagudi, Bengaluru, Karnataka 560018",096860 23298
87,Rainbow Driving School HSR Layout Bommanahalli,3.9,"341, 4th Avenue, 6th Main Rd, opp. महा राजा गणेशा टेम्पल Teache's Colony, Koramangala, Bengaluru, Karnataka 560034",099161 23555
88,Shivanandi motor driving school,4.7,"2084 1st main road club road, club road, Hampi Nagar, Vijayanagar, Bengaluru, Karnataka 560040",087227 00020
89,Hi-Tech driving school,3.9,"12, Kundalahalli Main Rd, Lakshminarayana Pura, AECS Layout, Marathahalli, Bengaluru, Karnataka 560037",nan
90,NEW SANTRO DRIVING SCHOOL,4.4,"29, Bannerghatta Main Rd, BHBCS Layout, Stage 2, Bilekahalli, Bengaluru, Karnataka 560076",099860 71555
91,TEJAS MOTOR DRIVING SCHOOL,4.7,"NO 292/1 ,1st Floor, TEJAS MOTOR DRIVING SCHOOL, 2nd Main Rd, opposite to sri rama temple, Maruthi Layout, Devarachikkana Halli, Bengaluru, Karnataka 560076",098459 40589
92,om shiva motor driving school,4.2,"109, 4th Main Rd, Chamrajpet, Bengaluru, Karnataka 560018",098864 45539
93,Shaurya Driving School,4.9,"No 5 shop 1 80feet Road,Gubbalala uttarhalli Hobli subramanyapura post, Bengaluru, Karnataka 560061",096065 02595
94,Emergent driving school,4.8,"39, 40, 7th Cross Rd, Jnananjyothinagar, Balaji Layout, Mallathahalli, Bengaluru, Karnataka 560056",097397 60248
95,Xcel Driving School,5.0,"9, 12th cross, post, behind divine hospital, Chinnapa Garden, Benson Town, Bengaluru, Karnataka 560046",093412 20981
96,VIVEK Driving School,5.0,"#391,2nd cross, 80 Feet Road Bhuvaneshwari Nagar, near Mahalakshmi Temple, Banashankari 3rd Stage, Bengaluru, Karnataka 560085",087925 31036
97,Siddu Shree Motor Driving School,4.9,"72, 1st Main Rd, Mahaganapathi Nagar, Rajajinagar, Bengaluru, Karnataka 560010",098800 56051
98,Maruti Driving School - Mandovi Basaveshwar Nagar,4.8,"113/2, 1st Main Rd, Rajaji Nagar Industrial Town, Rajajinagar, Bengaluru, Karnataka 560079",077609 89042
99,Sri Venkateshwara Driving School Rajajinagar,4.8,"RTO, 16/2, opp. to Rajajinagar, 2nd Block, Rajajinagar, Bengaluru, Karnataka 560010",095354 74474
100,NEWLY HI - TECH Motor Driving Training School,4.6,"Shop No, MANIPAL HOSPITAL, 4, ITPL Main Rd, opp. to PRESTIGE SHANTINIKETAN, Whitefield, KIADB Export Promotion Industrial Area, Krishnarajapura, Bengaluru, Karnataka 560066",097417 20792
101,SRI ARDHANARESHWARI MOTOR DRIVING SCHOOL,4.8,"36/1A SRI VENUGOPALA SWAMY COMPLEX 2ND FLOOR, behind SEASON RESTURENT, Phase 2, Electronic City, Bengaluru, Karnataka 560100",099029 43995
102,Sara Bangalore Motor Driving Training School,4.1,"NO 198, 2, OPP ST XAVIERS COLLEGE, 5th Block, 1st Stage, HBR Layout, Bengaluru, Karnataka 560043",097318 22619
103,i10 DRIVING SCHOOL 3,5.0,"2, Khaleel Alcazar, Khazi Street, Basavanagudi, Bengaluru, Karnataka 560004",nan
104,M R Driving school (Since 2005),4.9,"Shop No1 Bhagyalaxmi complex Bayanapalya, Kanakapura Rd, Bengaluru, Karnataka 560062",099015 60000
105,Mahadeshwara Driving School,4.7,"No.284, Vinayaka Nagar, Siddappa Building, Hosa Rd, near Karnataka Bank, opp. Old R.T.O Office, Naganathapura, Electronic City, Bengaluru, Karnataka 560100",093411 49677
106,Maruti driving school,4.9,"5th Main Rd, Malleshwaram, Bengaluru, Karnataka 560003",099009 98055
107,Brilliant Motor Driving Training School,4.8,"#65, Chiranjeevi layout, ground Floor Kempapura Esteem Mall, Road, Hebbal, Bengaluru, Karnataka 560024",096067 63339
108,Personal car trainer service,5.0,"437, 18th Main Rd, 6th Block, Koramangala, Bengaluru, Karnataka 560047",nan
109,NEW SANTRO DRIVING SCHOOL,4.6,"No 19, Marathahalli - Sarjapur Outer Ring Rd, Bellandur, Bengaluru, Karnataka 560103",099860 71555
110,Silicon Motor Driving School,4.9,"Ramshiv Complex, 1st Main Rd, H Gurumurthy ReddyColony, Yeswanthpur, Bengaluru, Karnataka 560022",099862 20272
111,Prerana Driving School,4.7,"Dr. vishnuvardhana, # 7/8, 1st Floor, Opp to Quality collage, Dr Vishnuvardhan Main Road, Poornaprajna Nagar, Arehalli, Uttarahalli Hobli, Bengaluru, Karnataka 560061",099000 01959
112,Friends Driving School,4.6,"No 73 H P PETROL BUNK, Bettadasanapura Main Rd, Bengaluru, Karnataka 560068",093413 15560
113,Anusha Driving School,4.5,"No.1, . M.V.J. Eng. college channasandra, hope farm road, near Lakshminarasimha Temple, Bengaluru, Karnataka 560067",094492 09182
114,Pin Point Motor Training Driving School - Driving License In HSR & RTO Consultancy,5.0,"CENTRAL (KA01, SHOP NO 03 SANA SUMMIT 20TH MAIN, 1st Cross Rd, opp. RTO, 1st Sector, HSR Layout, Bengaluru, Karnataka 560102",088804 79999
115,S L R Driving School,3.9,"K Complex, 1st Floor, Horamavu Main Rd, opp. NMPC Hospital, Horamavu, Bengaluru, Karnataka 560043",nan
116,Hi -Tech Driving School,4.7,"2, Sai Baba Temple Rd, Silver Springs Layout, Munnekollal, Bengaluru, Karnataka 560066",097423 33222
117,Anand Driving School,4.8,"2, S.R.V Nilaya, Kengeri Upanagara, Maruthi Nagar Circle 100 Feet Road Dodda Basti, Sonnenahalli, Sir M Vishweshwaraiah Layout 4th Block, SMV Layout, Bengaluru, Karnataka 560056",091647 88666
118,Anu two wheeler training classes for ladies in Bangalore,4.8,"No 9, arekere main road, gate, Bannerghatta Main Rd, Arekere, Bengaluru, Karnataka 560076",088928 34099
119,Sai Sre Driving Training School,3.8,"1st floor, bus stop, 436, 1/7, Railway Parallel Rd, opposite to mallesh palya, NGEF Layout, Sadanandanagar, Bennigana Halli, Bengaluru, Karnataka 560075",093412 51499
