,name,rating,address,phone
97,Maa Motor Driving School,5.0,"Kunwar Singh Nagar Nilothi, More, Nangloi, Delhi, 110041",nan
98,National Motor Driving School,4.5,"RZ-D-10, Sitapuri, Main Pankha Road, Near Solanki Property, Uttam Nagar, Sitapuri, New Delhi, Delhi 110058",nan
99,Vedant Car Driving School,5.0,"Shop no, csc market, 80, B-1, Block B, Vasant Kunj, New Delhi, Delhi 110070",098110 13127
100,Manikaran Motor Driving Training School,2.4,"DDA Flats, Shop No. 24-22 , Plot No. 13-14, Market, behind Rudra Apt, Sector 6 Dwarka, Dwarka, New Delhi, Delhi 110075",093135 49191
101,Amit Driving School(Best Driving School in Gurgaon),4.8,"South City, Block C, Old DLF Colony, Sector 14, Gurugram, Haryana 122001",099715 40941
102,Shine Star Driving School,3.6,"92 basement, Bada Bazar Rd, Near Kotak Bank, Old Rajinder Nagar, Market, New Delhi, Delhi 110060",098110 18765
103,JAI BHARAT MOTOR DRIVING SCHOOL (driving school) ( driving track ) (practice track ) (test track ),3.7,"PLOT NO-40 G/F PKT-9, SEC-24 ROHINI, DELHI-110085, NEAR PRINCE PUBLIC SCHOOL, ROHINI DELHI, Delhi 110085",088605 07115
104,Jai Motor Driving Training School (Govt.Approved Driving School),4.3,"B 2/1, opposite Chauhan Opticals, near Vishal Mega Mart, North Chhajupur, Shahdara, Delhi, 110094",nan
105,capital driving school,3.9,"shop no.1 , opp.jain bal ashram , mahavir vatika, ansari road , darya ganj, New Delhi, Delhi 110002",099900 90692
106,Rikki Motor Driving Training School,5.0,"Pargati kunj Apartment, 1, Dashrathpuri Metro Rd, New Delhi, Delhi 110045",nan
107,HARE KRISHNA MOTOR DRIVING TRAINING SCHOOL,5.0,"A1173, Block A, GALI NO. 20 BUDH VIHAR PHASE II, Sector 23, Rohini, Delhi, 110085",099909 90894
108,Mandeep Motor Driving School,5.0,"Shop no. 6, Gali Number 1, IGNOU Main Rd, Neb Sarai, Saket, New Delhi, Delhi 110068",070278 95555
109,New Malhotra Motor Driving School,2.9,"Block C, New Moti Nagar, Moti Nagar, New Delhi, Delhi 110015",nan
110,prime driving | automatic cars | driving school south delhi,4.4,"G6P2+VFM, Block B, Sarvodaya Enclave, New Delhi, Delhi 110017",nan
111,New Harbhajan Motor Driving Training School,3.3,"420/1, Guru Nanak Nagar,Shahpura, Sant Garh, MBS Nagar Rd, near CRPF, New Delhi, 110018",nan
112,Texla Driving School,3.2,"L-43, Nirmal Puri, Block L, Lajpat Nagar IV, Lajpat Nagar, New Delhi, Delhi 110024",nan
113,Radhey Driving School,4.3,"580, near Church, Ravidass Nagar, Narela Mandi, Narela, Delhi, 110040",087002 55535
114,Mehta Motor Driving College,2.7,"Shop No.D-537, Sant Shiromani Maharshi Balinath Marg, Block D, Tagore Garden Extension, near Holy Child School, New Delhi, Delhi 110027",nan
115,Tony motor Driving training school and Gambhir properties,5.0,"M-392, Guru Harkishn Nagar gat no -1, near kwality Bazar, Paschim Vihar, New Delhi, Delhi 110087",nan
116,Happy Driving Practice Track,4.9,"Khasra no. 265, gali no. 3 Sharma colony, Prahlad Vihar, Delhi, 110042",088605 99333
117,MARUTI DRIVING SCHOOL,2.7,"789, Main Rajapuri Road, Raja Puri, Dwarka, New Delhi, Delhi 110059",083770 07945
118,PRM Car Driving School,5.0,"M-51, 1st Floor, Market, Greater Kailash-1, M Block, Greater Kailash I, Greater Kailash, New Delhi, Delhi 110048",nan
119,Ravi Motor Driving Training School,3.0,"Shop No. 25 1st Floor C.S.C. DDA Market BG-3 & BG-5 Near Nirankari Satsang Bhawan, Block BG 3, Paschim Vihar, New Delhi, Delhi 110063",085069 69999
