,name,rating,address,phone
80,ANKUSHE MOTOR DRIVING SCHOOL,4.8,"Survey No 38, Kharadkar Nagar, Wadgaon Sheri Rd, nr. Vinayak Hospital, Sainikwadi, Wadgaon Sheri, Pune, Maharashtra 411014",077968 48539
81,L K Motor Driving School,4.4,"Swapnashobha, Archana Apt. Shop no. 1, Opp. Phule Ganapati Baugh, Dattawadi, Pune, Maharashtra 411030",079727 15426
82,Car Care,5.0,"715/A , BUDHWAR PETH BEHIND SHANIWAR WADA, NEAR, Sakal Press Ln, next to H.V. DESAI COLLEGE, Pune, Maharashtra 411030",nan
83,Personal Car Trainer,5.0,"Gaikwad Niwas,survey no 59/2 B shivganesh colony, Rahatani, Pune, Maharashtra 411017",095527 45602
84,Neville Car Driving Instructor (Personal Driving Instructor),4.9,"NIBM Rd, Kondhwa, Pune, Maharashtra 411048",098902 03398
85,Om Motor Driving School,5.0,"Maruti Mandir, Near, Hill View Terrace Soc, Shop No. 4 City Serve No. 161, Bibwewadi, Gaonthan, Maharashtra 411037",098606 05757
86,Swara Motor Driving School,4.7,"Porwal Park, Shop No 6, Sanjana Height, Tank Rd, Yerawada, Pune, Maharashtra 411006",099232 71115
87,Sankalp Motor Driving School,4.8,"shop no, Abalon blinding, 2, Narhe Ambegaon Rd, near janta shkari bank, Dattanagar, Pune, Maharashtra 411046",084214 93130
88,Mahesh motor driving school,4.9,"First Flower, Siddhivinayak Heights, Balaji Nagar, Pune, Maharashtra 411043",098224 01234
89,SARNAIK DRIVING SCHOOL,4.4,"Shivparvati Complex, Shop no.4,Sinhgad Road,Nanded phata,Sinhgad Road, Pune, Maharashtra 411041",098813 33225
90,Jagdish Motor Driving School,4.9,"Sutar complex, Dhayari Narhe Rd, opp. siddhi lawns, near Zeal College, Narhe, Pune, Maharashtra 411041",096044 04142
91,Anil Motor Driving School,3.9,"Ganga Complex, 28, Airport Rd, Yerawada, Pune, Maharashtra 411006",088883 88357
92,Kumbhar Motor Driving School,5.0,"1, Ward No. 8, Aundh Gaon, Aundh, Pune, Maharashtra 411007",098508 43427
93,Eklavya Motor Driving School,4.7,"Shop No 9,Building No.1, Vijay Mahal Society, near Gujrat Dairy, Salisbury Park, Pune, Maharashtra 411037",098223 43504
94,PRAVIN MOTOR DRIVING SCHOOL,5.0,"SHop no 02 Kanta Heights, Bhumkar Chowk, Narhe, Pune, Maharashtra 411041",070661 12003
95,Krishna Motor Driving School,4.8,"Shop No. 10, Shree Mangal Palace, Sinhgad Rd, Manik Baug, Anand Nagar, Pune, Maharashtra 411051",074987 99648
96,Xpert Motor Driving school,3.9,"Kausar Baug Masjid, NIBM Rd, opp. Kumar Pushpak, next to Smile Care Dental Clinic, Kondhwa, Pune, Maharashtra 411048",078759 33444
97,Saraswati Motor Driving School,4.9,"Hadapsar Rd, nr. Gynam School, Wadkar Mala, Sai Colony, Hadapsar, Pune, Maharashtra 411028",088301 95903
98,Maruti Driving School - Magarpatta City ( The Kothari Wheels ),4.9,"Shop No F, Destination Center, 55, DC Rd, above Morya Medical Shop, Magarpatta, Hadapsar, Pune, Maharashtra 411028",084118 12233
99,Rugved Motor Driving School,4.9,"SR No 36 Shree Krupa Shrusti Society Jambhulwadi road, Katraj - Ambegaon BK Rd, Pune, Maharashtra 411046",nan
100,More Motor Driving School,4.6,"Shahu Colony, Lane no 7, Plot no 23B, Sadguru Krupa, Karvenagar, Pune, Maharashtra 411052",094223 18899
101,Jai Guru Motor Driving School,3.5,"Shop No10, Easter Court, Bhagwan Tatyasaheb Kawade Rd, Ghorpadi, Pune, Maharashtra 411001",086009 97961
102,Abhay Motor Driving School,5.0,"Shop No. 5, Silver Arch, Lane Number 3, Shantibramha Society, Chandralok Nagari, Dahanukar Colony, Kothrud, Pune, Maharashtra 411038",nan
103,Sharma Motor Driving School,4.8,"110, near Police Chowky, Ghorpade Peth, Swargate, Pune, Maharashtra 411042",093710 22193
104,VINAYAK MOTOR DRIVING SCHOOL,4.4,"Shop No 3, Satav Hall, Padmavati Sahakar Nagar Rd, nr. Shinde Highschool, Pune, Maharashtra 411037",095273 74551
105,NEW Walunj Motor Driving School,5.0,"shop No, Sangale complex, 2, Paud Rd, near jay malahar gas Maharashtra bank, Bhugaon, Pune, Maharashtra 412115",077690 29048
106,Sai Ram Motor Driving School,4.8,"Sai Plaza, Satav Vasti, Survey 43/1, Rakshak Nagar Rd, near Gulmohar City, Kharadi, Pune, Maharashtra 411014",096895 12652
107,New Shree Sainath Driving School lohegon,5.0,"Shop No. 1, near Moje Petrol Pump, Shivnagar Chirke Colony, Lohegaon, Pune, Maharashtra 411047",077750 88754
108,UNIQUE MOTOR DRIVING SCHOOL,5.0,"SHOP NO. 2, Siddhi Aangan, Handewadi Rd, next to JSPM COLLEGE, Satar Nagar, Hadapsar, Pune, Maharashtra 411028",098236 17151
109,Suyash driving academy,5.0,"Sarita vaibhav B7/16, Sinhgad Rd, opp. phula deshpande garden, Pune, Maharashtra 411030",098815 34525
110,New Nikhil Motor Driving School,4.2,"Garmala, Sr No 147/2/4/6/8, Dhayari, Dhayari, Pune, Maharashtra 411041",098229 58499
111,Bhavana Motor Driving School,3.4,"Plot No.19, Golf Club Rd, Opp Audyogik School, Ganesh Nagar, Yerawada, Pune, Maharashtra 411006",099702 23690
112,Anil Motors (Anil motor driving school),3.9,"Lane Number 13-D, Tinger nagar, Vidyanagar, Dhanori, Pune, Maharashtra 411032",088883 88357
113,New Om Driving School,4.7,"Downtown Xenia building shop no 14 world tried center road kharadi, Kharadi, Pune, Maharashtra 411014",088307 01088
114,Uday Driving School ( UDS ),4.2,"Shop No 107, Purple Plaza, Chaitaraban, Lake Town, Bibvewadi, above Celebration Hotel (Map, Mahalaxmi Nagar, Balaji Nagar, Pune, Maharashtra 411037",098225 35577
115,SAGAR MOTOR DRIVING SCHOOL,5.0,"shop 3, Vishrantwadi A-96 Manali Apartments, near BRT BUSTOP, Kasturba Housing Society, Maharashtra 411015",098902 27422
116,Kale Motor School,3.7,"721/22, Senadatta Peth, Opposite Bhide Hospital, Navi Peth, Navi Peth, Pune, Maharashtra 411030",nan
117,Aarambh Motor Driving School,5.0,"3, Sankalp Building, Gram Panchayat Rd, near Ganpati Mandir, behind Poonam Petrol Pump, Mangdewadi, Katraj, Pune, Maharashtra 411046",090495 51001
118,HARE KRISHNA MOTOR DRIVING SCHOOL SINCE 2005,4.9,"Tukai Darshan, Sr. No. 207, Saswad Rd, opp. Lexicon School, Fursungi, Maharashtra 412308",097648 11811
119,Suyash Driving Academy,5.0,"Shree bunglow,plot no 3, 1st floor, C/O Darshan shah, bhagyanagar society Bibwewadi kondhwa Road, Near kumar park, next to axis bank lane, Pune, Maharashtra 411037",080070 01666
120,Drive Concept Motor Driving School - Sahakar Nagar,5.0,"Shop No 10, Tirthkunj Society, Aranyeshwar Padmavati Rd, Sahakar Nagar, Parvati Paytha, Pune, Maharashtra 411009",nan
